OrderID,Date,Region,Product,Quantity,Price,Category
1,2025-09-21,East,Tablet,1.0,30000.0,Electronics
2,2025-12-17,North,Tablet,1.0,30000.0,Electronics
3,2025-06-02,North,Shoes,6.0,3000.0,Fashion
4,2025-08-01,East,Shoes,5.0,3000.0,Fashion
5,2025-08-10,West,Laptop,7.0,55000.0,Electronics
6,2025-12-10,South,Jacket,1.0,4000.0,Fashion
7,2025-12-30,North,Tablet,6.0,30000.0,Electronics
8,2025-01-24,West,Tablet,1.0,30000.0,Electronics
9,2025-12-12,South,Watch,6.0,5000.0,Fashion
10,2025-11-25,North,Mobile,1.0,20000.0,Electronics
11,2025-09-03,West,Tablet,7.0,30000.0,Electronics
12,2025-12-04,East,Tablet,2.0,30000.0,Electronics
13,2025-04-23,West,Tablet,8.0,30000.0,Electronics
15,2025-07-03,East,Watch,3.0,5000.0,Fashion
16,2025-07-17,East,Jacket,1.0,4000.0,Fashion
17,2025-10-07,North,Tablet,7.0,30000.0,Electronics
18,2025-10-05,East,Laptop,9.0,55000.0,Electronics
20,2025-07-03,East,Tablet,6.0,30000.0,Electronics
21,2025-09-04,East,Shoes,6.0,3000.0,Fashion
22,2025-01-30,East,Laptop,5.0,55000.0,Electronics
23,2025-06-13,North,Mobile,3.0,20000.0,Electronics
25,2025-05-13,West,Laptop,3.0,55000.0,Electronics
26,2025-03-22,East,Mobile,5.0,20000.0,Electronics
27,2025-04-15,West,Shoes,2.0,3000.0,Fashion
28,2025-04-26,East,Watch,9.0,5000.0,Fashion
29,2025-06-06,North,Mobile,5.0,20000.0,Electronics
30,2025-09-14,West,Tablet,1.0,30000.0,Electronics
31,2025-11-15,South,Shoes,9.0,3000.0,Fashion
32,2025-08-07,West,Laptop,1.0,55000.0,Electronics
34,2025-10-28,East,Mobile,8.0,20000.0,Electronics
35,2025-03-27,East,Laptop,9.0,55000.0,Electronics
36,2025-02-19,West,Jacket,4.0,4000.0,Fashion
37,2025-12-29,East,Watch,8.0,5000.0,Fashion
38,2025-04-09,South,Shoes,5.0,3000.0,Fashion
40,2025-02-08,East,Laptop,1.0,55000.0,Electronics
43,2025-09-13,West,Tablet,7.0,30000.0,Electronics
44,2025-10-27,East,Tablet,5.0,30000.0,Electronics
45,2025-03-03,North,Laptop,8.0,55000.0,Electronics
46,2025-04-05,West,Watch,5.0,5000.0,Fashion
47,2025-05-17,North,Watch,2.0,5000.0,Fashion
48,2025-02-23,North,Shoes,5.0,3000.0,Fashion
49,2025-07-13,West,Mobile,7.0,20000.0,Electronics
50,2025-02-03,East,Tablet,3.0,30000.0,Electronics
51,2025-02-05,West,Jacket,8.0,4000.0,Fashion
52,2025-02-24,North,Laptop,3.0,55000.0,Electronics
53,2025-02-21,North,Jacket,3.0,4000.0,Fashion
54,2025-11-10,North,Shoes,2.0,3000.0,Fashion
55,2025-01-10,North,Laptop,3.0,55000.0,Electronics
56,2025-02-25,West,Shoes,9.0,3000.0,Fashion
57,2025-03-14,West,Laptop,6.0,55000.0,Electronics
59,2025-03-31,West,Jacket,1.0,4000.0,Fashion
60,2025-01-28,South,Shoes,1.0,3000.0,Fashion
61,2025-12-01,South,Watch,1.0,5000.0,Fashion
62,2025-01-25,West,Watch,1.0,5000.0,Fashion
63,2025-02-17,South,Shoes,2.0,3000.0,Fashion
64,2025-05-22,South,Mobile,3.0,20000.0,Electronics
65,2025-03-20,North,Mobile,8.0,20000.0,Electronics
66,2025-07-16,North,Jacket,1.0,4000.0,Fashion
67,2025-07-11,North,Jacket,9.0,4000.0,Fashion
68,2025-10-05,West,Mobile,1.0,20000.0,Electronics
69,2025-01-04,South,Tablet,3.0,30000.0,Electronics
70,2025-09-14,West,Shoes,6.0,3000.0,Fashion
71,2025-12-02,West,Tablet,3.0,30000.0,Electronics
72,2025-03-31,South,Watch,7.0,5000.0,Fashion
74,2025-06-14,East,Laptop,2.0,55000.0,Electronics
75,2025-12-02,North,Tablet,4.0,30000.0,Electronics
76,2025-07-27,North,Shoes,2.0,3000.0,Fashion
77,2025-07-09,West,Laptop,1.0,55000.0,Electronics
78,2025-08-01,North,Shoes,5.0,3000.0,Fashion
80,2025-06-25,West,Watch,7.0,5000.0,Fashion
81,2025-06-18,East,Shoes,8.0,3000.0,Fashion
82,2025-09-13,West,Mobile,3.0,20000.0,Electronics
83,2025-11-29,South,Watch,2.0,5000.0,Fashion
84,2025-11-20,West,Jacket,1.0,4000.0,Fashion
85,2025-04-15,South,Shoes,6.0,3000.0,Fashion
87,2025-07-15,South,Jacket,5.0,4000.0,Fashion
88,2025-05-25,East,Mobile,8.0,20000.0,Electronics
89,2025-12-10,West,Jacket,7.0,4000.0,Fashion
90,2025-12-20,North,Watch,6.0,5000.0,Fashion
91,2025-09-02,East,Mobile,7.0,20000.0,Electronics
92,2025-12-23,South,Watch,1.0,5000.0,Fashion
93,2025-11-15,North,Jacket,4.0,4000.0,Fashion
95,2025-10-21,South,Shoes,2.0,3000.0,Fashion
96,2025-06-06,East,Laptop,1.0,55000.0,Electronics
